Wavelength [A],flux (measured at 1 au) [erg/cm^2/s/A]
7.35,3.18708e+00
7.36,3.19280e+00
7.37,3.20039e+00
7.38,3.20370e+00
7.39,3.20736e+00
7.40,3.21207e+00
7.41,3.21763e+00
7.42,3.22499e+00
7.43,3.22970e+00
7.44,3.23255e+00
7.45,3.25503e+00
7.46,3.62850e+00
7.47,4.87691e+00
7.48,4.41324e+00
7.49,3.39890e+00
7.50,3.27397e+00
7.51,3.27039e+00
7.52,3.26935e+00
7.53,3.27323e+00
7.54,3.28190e+00
7.55,3.28871e+00
7.56,3.28970e+00
7.57,3.30112e+00
7.58,3.31596e+00
7.59,3.30875e+00
7.60,3.30558e+00
7.61,3.30953e+00
7.62,3.31433e+00
7.63,3.32052e+00
7.64,3.32841e+00
7.65,3.33135e+00
7.66,3.33290e+00
7.67,3.33744e+00
7.68,3.34442e+00
7.69,3.36043e+00
7.70,3.37119e+00
7.71,3.36872e+00
7.72,3.38988e+00
7.73,3.42336e+00
7.74,4.40017e+00
7.75,1.13090e+01
7.76,1.52525e+01
7.77,7.03721e+00
7.78,3.77875e+00
7.79,3.67008e+00
7.80,4.96436e+00
7.81,5.58008e+00
7.82,4.04989e+00
7.83,3.75294e+00
7.84,5.63564e+00
7.85,8.75040e+00
7.86,8.50230e+00
7.87,1.17969e+01
7.88,8.56455e+00
7.89,4.08607e+00
7.90,3.45227e+00
7.91,3.43957e+00
7.92,3.45407e+00
7.93,3.48243e+00
7.94,3.48347e+00
7.95,3.46509e+00
7.96,3.45975e+00
7.97,3.46299e+00
7.98,3.47030e+00
7.99,3.48738e+00
8.00,3.50907e+00
8.01,3.61734e+00
8.02,3.81487e+00
8.03,3.67589e+00
8.04,3.53692e+00
8.05,3.54742e+00
8.06,3.58565e+00
8.07,3.59482e+00
8.08,3.54013e+00
8.09,3.51545e+00
8.10,3.51618e+00
8.11,3.52022e+00
8.12,3.52788e+00
8.13,3.54812e+00
8.14,3.61641e+00
8.15,3.66018e+00
8.16,3.58989e+00
8.17,3.56183e+00
8.18,3.55526e+00
8.19,3.55133e+00
8.20,3.55293e+00
8.21,3.55846e+00
8.22,3.56369e+00
8.23,3.56674e+00
8.24,3.57051e+00
8.25,3.57260e+00
8.26,3.57477e+00
8.27,3.57859e+00
8.28,3.58295e+00
8.29,3.59131e+00
8.30,3.60739e+00
8.31,3.61329e+00
8.32,3.61221e+00
8.33,3.60954e+00
8.34,3.61327e+00
8.35,3.68422e+00
8.36,3.81477e+00
8.37,3.75731e+00
8.38,3.65477e+00
8.39,3.68593e+00
8.40,4.71305e+00
8.41,1.19348e+01
8.42,2.13578e+01
8.43,1.42069e+01
8.44,5.58276e+00
8.45,4.36505e+00
8.46,4.68969e+00
8.47,4.12817e+00
8.48,3.73294e+00
8.49,3.72979e+00
8.50,3.92182e+00
8.51,4.26833e+00
8.52,4.13170e+00
8.53,3.81555e+00
8.54,3.76536e+00
8.55,3.85112e+00
8.56,3.88489e+00
8.57,3.99885e+00
8.58,3.90945e+00
8.59,3.75505e+00
8.60,3.99917e+00
8.61,4.71781e+00
8.62,4.61437e+00
8.63,3.95668e+00
8.64,3.76978e+00
8.65,3.74523e+00
8.66,3.72848e+00
8.67,3.72777e+00
8.68,3.72796e+00
8.69,3.73736e+00
8.70,3.76037e+00
8.71,3.88876e+00
8.72,4.45174e+00
8.73,5.17137e+00
8.74,5.70110e+00
8.75,5.22069e+00
8.76,4.10388e+00
8.77,3.79339e+00
8.78,3.86048e+00
8.79,3.92566e+00
8.80,3.83822e+00
8.81,3.79024e+00
8.82,3.78405e+00
8.83,3.77912e+00
8.84,3.78926e+00
8.85,3.80267e+00
8.86,3.80055e+00
8.87,3.78814e+00
8.88,3.78550e+00
8.89,3.80301e+00
8.90,3.82766e+00
8.91,3.81638e+00
8.92,3.79766e+00
8.93,3.79548e+00
8.94,3.79838e+00
8.95,3.80529e+00
8.96,3.84421e+00
8.97,4.02574e+00
8.98,4.25150e+00
8.99,4.11300e+00
9.00,3.89210e+00
9.01,3.83611e+00
9.02,3.82817e+00
9.03,3.82812e+00
9.04,3.84169e+00
9.05,3.95667e+00
9.06,4.36683e+00
9.07,4.58380e+00
9.08,4.18110e+00
9.09,3.93158e+00
9.10,4.04329e+00
9.11,3.07061e+00
9.12,3.15502e+00
9.13,4.11439e+00
9.14,5.34962e+00
9.15,8.26480e+00
9.16,2.31988e+01
9.17,3.38372e+01
9.18,1.78999e+01
9.19,5.39251e+00
9.20,3.13517e+00
9.21,3.41033e+00
9.22,5.79821e+00
9.23,8.57588e+00
9.24,7.40159e+00
9.25,6.55795e+00
9.26,5.54607e+00
9.27,3.70300e+00
9.28,3.34709e+00
9.29,3.89503e+00
9.30,9.17859e+00
9.31,2.11758e+01
9.32,1.98734e+01
9.33,7.89005e+00
9.34,4.07635e+00
9.35,8.08978e+00
9.36,1.41798e+01
9.37,1.11326e+01
9.38,5.71127e+00
9.39,3.87107e+00
9.40,3.09195e+00
9.41,2.89505e+00
9.42,3.19499e+00
9.43,3.75911e+00
9.44,3.77039e+00
9.45,3.77042e+00
9.46,5.56998e+00
9.47,1.46192e+01
9.48,2.42709e+01
9.49,1.62203e+01
9.50,5.89522e+00
9.51,3.27056e+00
9.52,2.98993e+00
9.53,3.00297e+00
9.54,3.26524e+00
